License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Name,Agency Zone Office Number,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,Zip,License Certificate Number,License Original Issue Date,License Effective Date,License Expiration Date,Latitude,Longitude,Location
1128265,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,EL DESPERTAR RESTAURANT INC,,410 E TREMONT AVE,WEBSTER & PK AVENUE,BRONX,NY,10457,860204,06/21/2002,06/01/2016,05/31/2018,40.8475222212,-73.9003573991,"(40.8475222212, -73.9003573991)"
1128375,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,M L SAN JOSE ENTERPRISES CORP,,1 W 183 ST AKA 1-9 W 183RD ST,CORNER TO JEROME AVENUE,BRONX,NY,10453,863686,07/26/2002,07/01/2016,06/30/2018,40.8584357203,-73.9039305156,"(40.8584357203, -73.9039305156)"
1130302,LIQUOR STORE,222,L,New York,1,BRONX,1502 WESTCHESTER INC,,1502 WESTCHESTER AVE,ELDER & WHEELER AVE,BRONX,NY,10472,860070,08/30/2002,08/01/2014,07/31/2017,40.8284204443,-73.8799644222,"(40.8284204443, -73.8799644222)"
1131707,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,LA COCINA RESTAURANT INC,S A A,12 E KINGSBRIDGE RD,JEROME & MORRIS AVENUES,BRONX,NY,10468,866734,10/03/2002,10/01/2016,09/30/2018,40.8673129251,-73.897059956,"(40.8673129251, -73.897059956)"
1134275,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,6025 BROADWAY RESTAURANT CORP,,6025 BROADWAY,,BRONX,NY,10471,868223,12/27/2002,12/01/2016,11/30/2018,40.890961748,-73.8978318527,"(40.890961748, -73.8978318527)"
1135186,LIQUOR STORE,222,L,New York,1,BRONX,JJ VINEYARD INC,,3704 RIVERDALE AVENUE,237TH STREET & 238TH STREET,BRONX,NY,10463,866205,03/20/2003,03/02/2015,02/28/2018,40.8866686383,-73.9069620665,"(40.8866686383, -73.9069620665)"
1137039,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,MI GENTE CAFE INC,EVO COCKTAIL LOUNGE & RESTUARANT,1306 UNIONPORT RD,CRN OF UNION PORT ROAD,BRONX,NY,10462,849057,05/13/2003,05/01/2015,04/30/2017,40.8340013112,-73.8532712013,"(40.8340013112, -73.8532712013)"
1137776,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,1470 ESTRELLA BAR & RESTAURANT CORP,,1470 JEROME AVENUE,172ND STREET & 171ST STREET,BRONX,NY,10452,846637,05/20/2003,05/06/2015,04/30/2017,40.8414706439,-73.9165972999,"(40.8414706439, -73.9165972999)"
1139368,ON-PREMISES LIQUOR,252,OP,New York,1,NEW YORK,ROMAN ANDINO BAR REST CORP,,2503 3RD AVENUE,EAST 119TH & 120TH STREETS,BRONX,NY,10451,847354,08/11/2003,08/01/2015,07/31/2017,40.8102871579,-73.9284200788,"(40.8102871579, -73.9284200788)"
1140821,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,RUGO LLC,PORTOFINO RESTAURANT,555 CITY ISLAND AVE,NORTH OF CROSS STREET,BRONX,NY,10464,850042,07/16/2003,07/01/2015,06/30/2017,40.8526259598,-73.7895905854,"(40.8526259598, -73.7895905854)"
1142922,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,673 JRV CORP,MR WEDGE,673 HUNTS POINT AVE,,BRONX,NY,10474,853488,11/28/2003,11/01/2015,10/31/2017,40.813973757,-73.8853614368,"(40.813973757, -73.8853614368)"
1143829,LIQUOR STORE,222,L,New York,1,BRONX,LIN LIQUOR STORE INC,,1503 WHITE PLAINS ROAD,ARCHER STREET & GUERLAIN ST,BRONX,NY,10462,872622,11/14/2003,11/01/2015,10/31/2018,40.8379749763,-73.8636419194,"(40.8379749763, -73.8636419194)"
