BasketType,x,y
S,-73.91625637,40.64971925
S,-73.91885147,40.65085552
S,-73.9455482,40.65085188
S,-73.91813391,40.65088513
S,-73.9553738,40.73598215
S,-73.94872745,40.64452078
S,-73.92735396,40.65244364
S,-73.90673916,40.67008833
S,-73.91780032,40.65110768
S,-73.91807864,40.65137343
S,-73.94577934,40.7027125
S,-73.91878489,40.65374382
S,-73.91887525,40.65318877
S,-73.9455611,40.65113542
S,-73.90858921,40.66222026
S,-73.91943898,40.65331391
S,-73.95542208,40.70190625
B,-73.91839392,40.66836407
S,-73.91989306,40.6529839
S,-73.94904411,40.6445048
S,-73.91916807,40.65302065
S,-73.94583017,40.65085658
S,-73.94321382,40.70600559
S,-73.95415685,40.73073783
S,-73.91963285,40.65272777
S,-73.94877923,40.6449621
S,-73.94586192,40.65112168
S,-73.9431323,40.70568939
S,-73.91997327,40.65248702
S,-73.90904683,40.66979934
S,-73.94909125,40.64493751
S,-73.94653842,40.65074837
S,-73.90447408,40.67076754
S,-73.92345768,40.66439594
S,-73.94237461,40.70359506
S,-73.92037335,40.65220336
S,-73.92874516,40.66093344
S,-73.95243875,40.64501891
H,-73.90388524,40.67085563
S,-73.94281247,40.70388487
S,-73.94657848,40.65105991
S,-73.95290047,40.65074838
S,-73.92098915,40.65265621
S,-73.94284904,40.70641779
H,-73.90346605,40.6709032
S,-73.95148387,40.65053475
S,-73.94396881,40.65123346
S,-73.92187919,40.65407964
S,-73.91335581,40.67827036
S,-73.90796309,40.6596472
B,-73.91328394,40.66906314
S,-73.95234148,40.64782945
S,-73.94362063,40.65091839
B,-73.91775497,40.66877443
H,-73.91712537,40.66889263
S,-73.91076952,40.67610753
S,-73.95509047,40.73643582
B,-73.91658989,40.66895865
S,-73.92767486,40.65210073
B,-73.91616099,40.66903581
S,-73.94879292,40.64524894
B,-73.915657,40.66910739
S,-73.91522571,40.66916056
S,-73.90719714,40.67035328
B,-73.91477261,40.66921557
S,-73.99158235,40.69691352
S,-73.94783612,40.70334733
S,-73.94364753,40.65122584
S,-73.94897698,40.64671284
S,-73.90709354,40.65612751
S,-73.94844647,40.63876069
S,-73.94576745,40.71125935
H,-73.94972712,40.65066309
S,-73.96662862,40.68646558
S,-73.95602977,40.70195191
S,-73.94352428,40.6472457
S,-73.9492829,40.64670966
S,-73.91468773,40.68510844
S,-73.929978,40.65022433
S,-73.97484904,40.68731266
S,-73.99319855,40.69736916
S,-73.94700459,40.71113536
S,-73.95098466,40.63860574
S,-73.94931868,40.64696877
S,-73.93044243,40.65021012
S,-73.91345323,40.67852819
H,-73.95228164,40.65051681
S,-73.96645529,40.68676369
B,-73.91894837,40.66826653
S,-73.97547163,40.68726889
S,-73.99311093,40.69759449
S,-73.95148495,40.63993864
S,-73.92897679,40.66113925
S,-73.92403306,40.66435673
S,-73.91447318,40.68373612
S,-73.92773035,40.65239767
S,-73.95546826,40.73640777
S,-73.91109652,40.6761567
S,-73.95627495,40.71130541
S,-73.93026321,40.66228825
S,-73.903702,40.65667143
S,-73.92113196,40.6540895
S,-73.91376441,40.67857536
S,-73.91148216,40.66038644
S,-73.95571308,40.70214553
B,-73.9193308,40.66821131
S,-73.95514379,40.73670904
S,-73.92830088,40.65201107
S,-73.92383655,40.66414409
S,-73.91810428,40.6687353
S,-73.91486161,40.68413265
S,-73.90337238,40.65669327
S,-73.94462381,40.65121371
S,-73.91400519,40.68124998
H,-73.95633528,40.7026796
S,-73.91118841,40.67197145
S,-73.94049263,40.72580618
S,-73.910826,40.65765766
S,-73.90342738,40.65701133
S,-73.92195299,40.65227043
S,-73.92833036,40.65233363
S,-73.95552674,40.73669038
S,-73.93956818,40.72587273
S,-73.94458678,40.65092815
S,-73.92451834,40.6640239
S,-73.9145692,40.68418483
S,-73.95664531,40.70251312
S,-73.92058363,40.66312934
H,-73.91775543,40.66847035
S,-73.91401048,40.67979669
S,-73.91415811,40.68051908
S,-73.90352921,40.65734983
S,-73.92862504,40.65194815
S,-73.94910352,40.70449819
S,-73.93408108,40.65141362
S,-73.91149027,40.67185047
S,-73.90385546,40.65722595
S,-73.94056105,40.72613098
S,-73.9225869,40.65223658
S,-73.91412699,40.68198846
S,-73.91433647,40.68150658
S,-73.9286326,40.65227929
S,-73.91974343,40.66814073
S,-73.92431547,40.66385208
S,-73.91406832,40.68002416
S,-73.93414284,40.65171685
S,-73.94089667,40.72575661
S,-73.92208963,40.66520641
S,-73.9205386,40.65270558
S,-73.91667773,40.67593752
S,-73.90838235,40.66117841
S,-73.91392408,40.68080971
S,-73.92288198,40.66678464
S,-73.92242429,40.6526093
S,-73.93438793,40.6513969
S,-73.94095315,40.72611071
S,-73.92476057,40.6638593
S,-73.91434034,40.68298771
S,-73.91846533,40.65346203
S,-73.92216683,40.66552048
S,-73.9093748,40.65612395
H,-73.92279449,40.66509196
S,-73.94943743,40.70477219
S,-73.934443,40.65170108
S,-73.94146719,40.7260362
S,-73.9136502,40.67502198
S,-73.92917095,40.6517425
S,-73.94427024,40.70227055
S,-73.9261735,40.66263555
S,-73.91428908,40.68276777
S,-73.90607225,40.65964921
S,-73.92380092,40.65232429
S,-73.91052482,40.66950049
S,-73.92029841,40.66577895
S,-73.96243979,40.71513104
S,-73.92923375,40.65211676
S,-73.91717689,40.6708138
S,-73.94190412,40.72566022
S,-73.92458421,40.66367284
S,-73.95726396,40.70360847
S,-73.92316013,40.65228334
S,-73.93504229,40.65135878
S,-73.94848092,40.70988241
S,-73.90749858,40.6578184
S,-73.91098715,40.6697825
S,-73.92956672,40.65168047
H,-73.91023168,40.66954211
S,-73.91065286,40.67735361
S,-73.95763423,40.70338135
S,-73.94144055,40.72569273
S,-73.90759805,40.65811118
S,-73.91636506,40.67592691
S,-73.93510167,40.65166452
S,-73.94707554,40.71150551
S,-73.92540188,40.6634649
S,-73.92956266,40.65203157
S,-73.92196928,40.65263037
S,-73.95757935,40.70386546
S,-73.90796449,40.65805191
S,-73.915261,40.67048939
S,-73.9423982,40.72559345
S,-73.91102559,40.67842876
S,-73.95512474,40.73429106
S,-73.90530592,40.66449649
S,-73.93021136,40.65156529
S,-73.95144232,40.7058909
S,-73.93534262,40.65135957
H,-73.95808437,40.70351832
H,-73.91077747,40.6691293
S,-73.93026522,40.65184279
S,-73.90786502,40.65775913
S,-73.92520875,40.66325311
S,-73.93532947,40.65164795
S,-73.94239508,40.70143173
S,-73.93056751,40.65151296
S,-73.9094646,40.6638948
S,-73.92162787,40.65264831
S,-73.94231228,40.70322394
S,-73.91152766,40.68080825
S,-73.95477725,40.73457702
S,-73.93634055,40.65131094
S,-73.91719282,40.67038437
S,-73.91380626,40.65658427
S,-73.95185868,40.7061256
S,-73.9442934,40.72546013
S,-73.93059276,40.65184083
S,-73.94277196,40.70356718
S,-73.90716963,40.65642634
S,-73.90905647,40.66394364
H,-73.95846378,40.70383931
H,-73.90625755,40.67048862
S,-73.95504325,40.73383841
S,-73.93634403,40.65160624
S,-73.92565691,40.6633167
S,-73.91404687,40.65678076
S,-73.94243706,40.70392429
S,-73.90831285,40.6799562
S,-73.91478045,40.6707124
S,-73.93116059,40.65149238
S,-73.9419099,40.72600414
S,-73.90837094,40.65959495
S,-73.95729169,40.71643728
S,-73.92294623,40.65305725
S,-73.94789089,40.71399089
S,-73.9546634,40.73387584
S,-73.9091439,40.66427526
S,-73.94252771,40.7043362
S,-73.95289327,40.70648151
S,-73.91427878,40.65661307
S,-73.93700734,40.65156825
S,-73.91164413,40.68309811
S,-73.92542906,40.6630959
S,-73.95705122,40.71665264
S,-73.90751967,40.6563809
S,-73.942862,40.72592061
S,-73.93121727,40.65180319
S,-73.94286479,40.70430948
H,-73.95871475,40.70406478
S,-73.95498788,40.73355892
S,-73.95677589,40.71648225
S,-73.93694694,40.65129579
S,-73.94294201,40.70458993
S,-73.92307918,40.65260623
S,-73.93153907,40.65145484
S,-73.90814296,40.65628844
S,-73.91456857,40.656419
B,-73.9143534,40.66929826
S,-73.90955815,40.66423805
S,-73.9569877,40.7162694
S,-73.93733809,40.65154534
B,-73.94268199,40.70551565
S,-73.94257082,40.70462297
S,-73.93155555,40.65181108
S,-73.9119263,40.68302548
S,-73.92753369,40.66208854
S,-73.95462551,40.73362139
S,-73.91377429,40.66936088
S,-73.93726219,40.65127442
S,-73.94378796,40.72586254
H,-73.90537067,40.67062071
S,-73.90847137,40.65625307
S,-73.914363,40.65624176
H,-73.95888955,40.70437764
S,-73.92346847,40.65232612
S,-73.95492631,40.73314975
S,-73.94687875,40.72298699
S,-73.9098316,40.66544246
S,-73.92478728,40.6522878
S,-73.93210363,40.65143485
S,-73.94263737,40.70502138
S,-73.91474894,40.65597642
S,-73.91176132,40.6822873
S,-73.92689294,40.66216254
S,-73.93789811,40.65122261
S,-73.91282167,40.6695203
S,-73.90828468,40.66084426
S,-73.95455677,40.73318796
B,-73.94338343,40.70187512
S,-73.93215887,40.65177114
S,-73.90947656,40.66548487
S,-73.92483921,40.6526056
S,-73.94296601,40.70500513
S,-73.90869548,40.66079456
S,-73.91147913,40.68232972
S,-73.95489252,40.73289218
B,-73.94277795,40.701721
S,-73.92609965,40.66299957
S,-73.91066417,40.65734952
S,-73.92539195,40.65225033
S,-73.90991996,40.66573717
S,-73.91494658,40.65617016
S,-73.95346483,40.69997689
S,-73.95449935,40.73289675
S,-73.93793538,40.65153078
S,-73.91242221,40.66957166
S,-73.92591604,40.6628136
S,-73.9104002,40.65766746
S,-73.9116915,40.68179883
S,-73.94796413,40.72493078
S,-73.93251673,40.65140618
S,-73.95411278,40.70019946
S,-73.95481247,40.73244389
S,-73.90952857,40.6657897
B,-73.94254993,40.70126576
S,-73.91138326,40.68185844
S,-73.9382027,40.65121817
S,-73.94781364,40.72454649
S,-73.93249992,40.65177197
S,-73.94273445,40.70573688
S,-73.91520487,40.65566765
B,-73.94247851,40.70197089
S,-73.93821944,40.65151818
S,-73.91542402,40.6558581
S,-73.91101967,40.67002037
S,-73.9331099,40.65141442
S,-73.94832591,40.72434408
B,-73.94209963,40.70198365
S,-73.93985714,40.65145269
S,-73.91547436,40.65552069
S,-73.93312715,40.65172643
S,-73.94854219,40.7246915
S,-73.94325011,40.70639601
B,-73.94272054,40.70335899
S,-73.93080213,40.65360275
S,-73.9156759,40.65568421
S,-73.94308944,40.70789561
B,-73.94282564,40.70409931
S,-73.91610011,40.65511751
